id,price
0,237.0
2,62.0
5,138.0
18,48.0
19,305.0
23,229.0
24,307.0
25,271.0
30,138.0
31,-7.0
47,104.0
61,102.0
64,320.0
66,130.0
71,67.0
81,261.0
82,146.0
88,266.0
96,105.0
116,106.0
120,447.0
123,194.0
124,293.0
147,237.0
161,238.0
171,35.0
172,321.0
173,119.0
175,286.0
176,213.0
180,351.0
181,418.0
182,186.0
187,101.0
188,181.0
197,206.0
202,304.0
213,139.0
225,144.0
238,201.0
260,183.0
268,363.0
269,137.0
273,68.0
275,279.0
282,112.0
297,257.0
299,283.0
301,55.0
305,146.0
312,54.0
320,173.0
324,234.0
328,206.0
343,51.0
347,325.0
348,167.0
349,239.0
361,381.0
369,236.0
392,245.0
397,226.0
401,234.0
402,178.0
406,389.0
413,-1.0
416,181.0
426,125.0
429,393.0
450,357.0
455,413.0
479,172.0
481,310.0
485,288.0
492,313.0
493,332.0
498,129.0
501,37.0
519,207.0
522,239.0
524,277.0
525,224.0
526,315.0
528,520.0
531,129.0
532,82.0
536,312.0
540,155.0
561,227.0
563,160.0
567,238.0
572,89.0
574,71.0
579,396.0
588,79.0
595,150.0
599,30.0
603,120.0
621,27.0
623,505.0
626,110.0
628,116.0
640,22.0
643,268.0
648,131.0
655,262.0
658,186.0
659,119.0
660,62.0
662,304.0
667,97.0
668,193.0
672,142.0
673,86.0
676,269.0
678,255.0
682,132.0
684,147.0
686,200.0
689,249.0
694,155.0
696,162.0
704,295.0
710,236.0
728,370.0
739,126.0
740,241.0
742,145.0
744,546.0
764,158.0
765,115.0
780,328.0
789,175.0
794,311.0
798,164.0
811,89.0
818,187.0
821,368.0
835,172.0
845,193.0
848,18.0
850,307.0
867,63.0
870,315.0
872,189.0
874,248.0
882,215.0
897,208.0
901,186.0
906,257.0
913,131.0
915,138.0
916,51.0
930,94.0
932,249.0
933,246.0
942,310.0
944,181.0
960,16.0
966,215.0
969,283.0
975,153.0
981,219.0
987,437.0
996,405.0
1001,177.0
1005,143.0
1011,315.0
1013,177.0
1023,216.0
1026,157.0
1032,160.0
1035,89.0
1040,339.0
1058,224.0
1063,242.0
1064,277.0
1068,331.0
1072,230.0
1080,223.0
1089,341.0
1090,332.0
1096,266.0
1101,126.0
1107,378.0
1112,181.0
1124,90.0
1125,221.0
1127,182.0
1128,105.0
1134,375.0
1138,216.0
1139,362.0
1159,24.0
1162,186.0
1169,266.0
1174,67.0
1185,306.0
1188,113.0
1209,187.0
1211,398.0
1228,332.0
1229,155.0
1230,237.0
1239,283.0
1243,167.0
1247,174.0
1265,102.0
1266,237.0
1272,492.0
1274,75.0
1278,212.0
1281,167.0
1284,173.0
1290,370.0
1293,247.0
1301,275.0
1307,51.0
1309,334.0
1325,266.0
1333,251.0
1335,337.0
1359,-50.0
1361,146.0
1362,196.0
1368,360.0
1370,315.0
1381,179.0
1386,301.0
1387,119.0
1389,227.0
1406,465.0
1411,134.0
1416,258.0
1422,149.0
1425,375.0
1431,181.0
1436,85.0
1442,114.0
1450,147.0
1453,148.0
1463,349.0
1471,426.0
1473,294.0
1474,153.0
1483,109.0
1485,333.0
1489,72.0
1495,195.0
1500,209.0
1502,114.0
1505,394.0
1508,51.0
1516,117.0
1517,160.0
1525,232.0
1531,154.0
1532,330.0
1535,232.0
1539,244.0
1545,222.0
1560,251.0
1562,173.0
1568,94.0
1572,194.0
1577,283.0
1579,334.0
1582,-51.0
1584,298.0
1586,211.0
1588,339.0
1593,333.0
1594,88.0
1602,125.0
1610,251.0
1627,83.0
1635,199.0
1640,104.0
1646,274.0
1660,267.0
1684,152.0
1696,170.0
1708,155.0
1711,126.0
1712,115.0
1715,116.0
1722,839.0
1729,304.0
1735,39.0
1738,201.0
1740,180.0
1741,262.0
1752,109.0
1755,92.0
1759,170.0
1764,177.0
1772,369.0
1780,359.0
1785,246.0
1790,251.0
1791,275.0
1792,156.0
1810,149.0
1813,341.0
1820,204.0
1822,89.0
1836,189.0
1849,80.0
1852,212.0
1856,99.0
1877,139.0
1884,189.0
1886,313.0
1887,199.0
1898,209.0
1901,255.0
